Country,GDP,3code,fillKey
Tajikistan,1000,TJK,VERYLOW
Thailand,7400,THA,LOW
Togo,1500,TGO,VERYLOW
Tonga,2200,TON,VERYLOW
Trinidad & Tobago,9500,TTO,MEDIUM
Tunisia,6900,TUN,LOW
Turkey,6700,TUR,LOW
Turkmenistan,5800,TKM,LOW
Tuvalu,1100,TUV,VERYLOW
Uganda,1400,UGA,VERYLOW
Ukraine,5400,UKR,LOW
United Arab Emirates,23200,ARE,HIGH
United Kingdom,27700,GBR,VERYHIGH
United States,37800,USA,VERYHIGH
Uruguay,12800,URY,MEDIUM
Uzbekistan,1700,UZB,VERYLOW
Vanuatu,2900,VUT,VERYLOW
Venezuela,4800,VEN,LOW
Vietnam,2500,VNM,VERYLOW
Wallis and Futuna,3700,WLF,LOW
Yemen,800,YEM,VERYLOW
Zambia,800,ZMB,VERYLOW
Zimbabwe,1900,ZWE,VERYLOW
