,Country,GDP,3code,fillKey
162,Spain,22000,ESP,15000-25000
163,Sri Lanka,3700,LKA,3500-7500
164,Sudan,1900,SDN,<3500
165,Swaziland,4900,SWZ,3500-7500
166,Sweden,26800,SWE,>25000
167,Switzerland,32700,CHE,>25000
168,Taiwan,23400,TWN,15000-25000
169,Tajikistan,1000,TJK,<3500
170,Thailand,7400,THA,3500-7500
171,Togo,1500,TGO,<3500
172,Tonga,2200,TON,<3500
173,Trinidad & Tobago,9500,TTO,7500-15000
174,Tunisia,6900,TUN,3500-7500
175,Turkey,6700,TUR,3500-7500
176,Turkmenistan,5800,TKM,3500-7500
177,Tuvalu,1100,TUV,<3500
178,Uganda,1400,UGA,<3500
179,Ukraine,5400,UKR,3500-7500
180,United Arab Emirates,23200,ARE,15000-25000
181,United Kingdom,27700,GBR,>25000
182,United States,37800,USA,>25000
183,Uruguay,12800,URY,7500-15000
184,Uzbekistan,1700,UZB,<3500
185,Vanuatu,2900,VUT,<3500
186,Venezuela,4800,VEN,3500-7500
187,Vietnam,2500,VNM,<3500
188,Wallis and Futuna,3700,WLF,3500-7500
189,Yemen,800,YEM,<3500
190,Zambia,800,ZMB,<3500
191,Zimbabwe,1900,ZWE,<3500
